SYMBOL,NIFTY50,FNO,SMALLCAP250,MICROCAP250
EUROPRATIK,NO,NO,NO,NO
EVEREADY,NO,NO,NO,NO
EXCELINDUS,NO,NO,NO,NO
EXCELSOFT,NO,NO,NO,NO
EXICOM,NO,NO,NO,NO
EXIDEIND,NO,NO,NO,NO
EXPLEOSOL,NO,NO,NO,NO
EXXARO,NO,NO,NO,NO
FABTECH,NO,NO,NO,NO
FACT,NO,NO,YES,NO
FAZE3Q,NO,NO,NO,NO
FCL,NO,NO,NO,NO
FCSSOFT,NO,NO,NO,NO
FDC,NO,NO,NO,NO
FEDDERSHOL,NO,NO,NO,NO
FEDERALBNK,NO,YES,NO,NO
FEDFINA,NO,NO,NO,YES
FERMENTA,NO,NO,NO,NO
FIBERWEB,NO,NO,NO,NO
FIEMIND,NO,NO,NO,YES
FILATEX,NO,NO,NO,NO
FILATFASH,NO,NO,NO,NO
FINCABLES,NO,NO,YES,NO
FINEORG,NO,NO,NO,NO
FINKURVE,NO,NO,NO,NO
FINOPB,NO,NO,NO,NO
FINPIPE,NO,NO,NO,YES
FIRSTCRY,NO,NO,YES,NO
FISCHER,NO,NO,NO,NO
FIVESTAR,NO,NO,YES,NO
FLAIR,NO,NO,NO,NO
FLUOROCHEM,NO,NO,NO,NO
FMGOETZE,NO,NO,NO,NO
FOODSIN,NO,NO,NO,NO
FORCEMOT,NO,YES,YES,NO
FORTIS,NO,YES,NO,NO
FOSECOIND,NO,NO,NO,NO
FRACTAL,NO,NO,NO,NO
FREDUN,NO,NO,NO,NO
FRONTSP,NO,NO,NO,NO
FSL,NO,NO,YES,NO
FUSION,NO,NO,NO,NO
GABRIEL,NO,NO,YES,NO
GAEL,NO,NO,NO,YES
GAIL,NO,YES,NO,NO
GALAPREC,NO,NO,NO,NO
GALAXYSURF,NO,NO,NO,NO
GALLANTT,NO,NO,YES,NO
GANDHAR,NO,NO,NO,NO
GANDHITUBE,NO,NO,NO,NO
GANECOS,NO,NO,NO,NO
GANESHCP,NO,NO,NO,NO
GANESHHOU,NO,NO,NO,NO
GANGAFORGE,NO,NO,NO,NO
GANGESSECU,NO,NO,NO,NO
GARFIBRES,NO,NO,NO,NO
GARUDA,NO,NO,NO,NO
GATEWAY,NO,NO,NO,NO
GAYAHWS,NO,NO,NO,NO
GCSL,NO,NO,NO,NO
GEEKAYWIRE,NO,NO,NO,NO
GEMAROMA,NO,NO,NO,NO
GENCON,NO,NO,NO,NO
GENESYS,NO,NO,NO,NO
GENUSPAPER,NO,NO,NO,NO
GENUSPOWER,NO,NO,NO,NO
GEOJITFSL,NO,NO,NO,NO
GESHIP,NO,NO,YES,NO
GFLLIMITED,NO,NO,NO,NO
GHCL,NO,NO,NO,YES
GHCLTEXTIL,NO,NO,NO,NO
GICHSGFIN,NO,NO,NO,NO
GICL,NO,NO,NO,NO
GICRE,NO,NO,NO,NO
GILLANDERS,NO,NO,NO,NO
GILLETTE,NO,NO,YES,NO
GIPCL,NO,NO,NO,NO
GKB,NO,NO,NO,NO
GKENERGY,NO,NO,NO,NO
GKSL,NO,NO,NO,NO
GKWLIMITED,NO,NO,NO,NO
GLAND,NO,NO,YES,NO
GLAXO,NO,NO,NO,NO
GLENMARK,NO,YES,NO,NO
GLFL,NO,NO,NO,NO
GLOBAL,NO,NO,NO,NO
GLOBALE,NO,NO,NO,NO
